# x_m,y_m,w_tr_left_m,w_tr_right_m 
1.5164584,-0.3407081,0.0,0.0
1.5157769,-0.3306917,0.0,0.0
1.5150441,-0.3206892,0.0,0.0
1.51426,-0.310701,0.0,0.0
1.5134249,-0.3007274,0.0,0.0
1.5125389,-0.2907688,0.0,0.0
1.511602,-0.2808256,0.0,0.0
1.5106146,-0.270898,0.0,0.0
1.5095767,-0.2609864,0.0,0.0
1.5084884,-0.2510913,0.0,0.0
1.5073501,-0.2412128,0.0,0.0
1.5061487,-0.2312459,0.0,0.0
1.5048936,-0.2212749,0.0,0.0
1.5035876,-0.2113221,0.0,0.0
1.502231,-0.2013879,0.0,0.0
1.5008239,-0.1914727,0.0,0.0
1.4993666,-0.1815769,0.0,0.0
1.4978592,-0.1717009,0.0,0.0
1.4963021,-0.1618449,0.0,0.0
1.4946954,-0.1520094,0.0,0.0
1.4930393,-0.1421948,0.0,0.0
1.491334,-0.1324014,0.0,0.0
1.4895662,-0.1225544,0.0,0.0
1.4877361,-0.1126614,0.0,0.0
1.4858562,-0.1027914,0.0,0.0
1.4839267,-0.0929448,0.0,0.0
1.4819479,-0.0831219,0.0,0.0
1.4799202,-0.0733232,0.0,0.0
1.4778438,-0.0635489,0.0,0.0
1.475719,-0.0537995,0.0,0.0
1.4735461,-0.0440753,0.0,0.0
1.4713253,-0.0343768,0.0,0.0
1.469057,-0.0247043,0.0,0.0
1.4667263,-0.0149957,0.0,0.0
1.4643232,-0.0052143,0.0,0.0
1.4618719,0.0045391,0.0,0.0
1.4593728,0.014264,0.0,0.0
1.4568262,0.02396,0.0,0.0
1.4542325,0.0336267,0.0,0.0
1.4515922,0.0432638,0.0,0.0
1.4489054,0.0528709,0.0,0.0
1.4461727,0.0624475,0.0,0.0
1.4433943,0.0719932,0.0,0.0
1.4405706,0.0815078,0.0,0.0
1.4376777,0.0910704,0.0,0.0
1.4347066,0.1007061,0.0,0.0
1.4316897,0.1103082,0.0,0.0
1.4286274,0.1198761,0.0,0.0
1.4255202,0.1294095,0.0,0.0
1.4223685,0.1389081,0.0,0.0
1.4191728,0.1483713,0.0,0.0
1.4159334,0.1577988,0.0,0.0
1.4126509,0.1671901,0.0,0.0
1.4093257,0.176545,0.0,0.0
1.4059583,0.1858629,0.0,0.0
1.4024951,0.1952892,0.0,0.0
1.3989641,0.2047434,0.0,0.0
1.3953904,0.2141577,0.0,0.0
1.3917746,0.2235316,0.0,0.0
1.3881172,0.2328647,0.0,0.0
1.3844188,0.2421566,0.0,0.0
1.3806799,0.251407,0.0,0.0
1.376901,0.2606153,0.0,0.0
1.3730827,0.2697812,0.0,0.0
1.3692256,0.2789042,0.0,0.0
1.3653108,0.2880287,0.0,0.0
1.3612702,0.2973088,0.0,0.0
1.3571905,0.3065424,0.0,0.0
1.3530722,0.315729,0.0,0.0
1.3489161,0.3248681,0.0,0.0
1.3447228,0.3339595,0.0,0.0
1.3404929,0.3430025,0.0,0.0
1.3362271,0.3519968,0.0,0.0
1.3319261,0.360942,0.0,0.0
1.3275905,0.3698376,0.0,0.0
1.3232209,0.3786831,0.0,0.0
1.3186823,0.3877478,0.0,0.0
1.3141029,0.3967704,0.0,0.0
1.3094896,0.4057384,0.0,0.0
1.3048433,0.4146513,0.0,0.0
1.3001647,0.4235086,0.0,0.0
1.2954546,0.4323099,0.0,0.0
1.2907138,0.4410547,0.0,0.0
1.285943,0.4497427,0.0,0.0
1.2811432,0.4583732,0.0,0.0
