# x_m, y_m, vx_mps, delta_rad
-2.0442346, 7.1999917, 3.8896230, -0.0624712
-1.8959626, 7.3351810, 3.7901740, -0.0680327
-1.7436500, 7.4629604, 3.6902527, -0.0757735
-1.5852263, 7.5839116, 3.5895082, -0.0875244
-1.4206187, 7.6962188, 3.4909420, -0.1064724
-1.2495382, 7.7974651, 3.3953593, -0.1283697
-1.0708965, 7.8850454, 3.3142752, -0.1582573
-0.8855841, 7.9548245, 3.2449047, -0.1864722
-0.6910255, 8.0038342, 3.1853011, -0.2063178
-0.4948860, 8.0272640, 3.0771285, -0.2433871
-0.2937919, 8.0208868, 2.9248828, -0.2805416
-0.0986717, 7.9803699, 2.5892970, -0.2950473
0.0861097, 7.9044320, 2.3781458, -0.3147736
0.2520258, 7.7943165, 2.3680943, -0.3109000
0.3936993, 7.6540072, 2.2964927, -0.3122191
0.5049677, 7.4895327, 2.1847812, -0.3218337
0.5820191, 7.3053376, 2.2063787, -0.3005671
0.6231151, 7.1109747, 2.2574050, -0.2800591
0.6302544, 6.9114192, 2.3528131, -0.2487175
0.6067479, 6.7136172, 2.4931877, -0.2275264
0.5560080, 6.5213818, 2.6818171, -0.2125993
0.4805867, 6.3368970, 2.8197586, -0.1939931
0.3840834, 6.1629343, 2.9532386, -0.1721423
0.2697166, 5.9997773, 3.1008656, -0.1505938
0.1412723, 5.8480366, 3.2716945, -0.1177203
0.0013942, 5.7048628, 3.4559752, -0.0778129
-0.1434980, 5.5697492, 3.6469460, -0.0338798
-0.2925390, 5.4364080, 3.7946842, 0.0015599
-0.4411120, 5.3033914, 3.8550814, 0.0244721
-0.5880823, 5.1678281, 3.8055544, 0.0485434
-0.7307815, 5.0282044, 3.6837611, 0.0748644
-0.8674618, 4.8818716, 3.6138737, 0.0958792
-0.9945519, 4.7288135, 3.5575079, 0.1196739
-1.1110766, 4.5655169, 3.5374719, 0.1506597
-1.2113314, 4.3933564, 3.5287901, 0.1937125
-1.2902149, 4.2110600, 3.5366170, 0.2499408
-1.3403106, 4.0174382, 3.5637509, 0.3227923
-1.3502971, 3.8199243, 3.6022952, 0.3943631
-1.3113050, 3.6250148, 3.6605920, 0.4248905
-1.2234252, 3.4486981, 3.7407907, 0.3444855
-1.0983416, 3.2933897, 3.8349121, 0.2280981
-0.9532485, 3.1580546, 3.9503645, 0.1461101
-0.7964047, 3.0361229, 4.0765925, 0.0897797
-0.6305977, 2.9213349, 4.2093171, 0.0540373
-0.4638452, 2.8139629, 4.3420152, 0.0292040
-0.2927879, 2.7080815, 4.4578896, 0.0085049
-0.1226554, 2.6040221, 4.3056035, -0.0098112
0.0473402, 2.4986467, 4.1545983, -0.0288984
0.2158681, 2.3899937, 4.0091125, -0.0518456
0.3801006, 2.2765806, 3.8680474, -0.0802840
0.5386065, 2.1552275, 3.7351813, -0.1166550
0.6882027, 2.0225318, 3.6101528, -0.1812642
0.8200331, 1.8764788, 3.4901857, -0.2678800
0.9283799, 1.7072797, 3.3846602, -0.3512706
0.9959073, 1.5213038, 3.2900760, -0.3936177
1.0158183, 1.3241463, 3.2085702, -0.3771700
0.9892088, 1.1271857, 3.1389305, -0.3255978
0.9234335, 0.9400009, 3.0452721, -0.2768900
0.8258300, 0.7654226, 2.9257933, -0.2373557
0.7049683, 0.6082990, 2.7283663, -0.1983725
0.5651453, 0.4661393, 2.6795343, -0.1636205
0.4110972, 0.3380967, 2.7687595, -0.1323293
0.2482738, 0.2240622, 2.7485287, -0.1257727
0.0762419, 0.1222345, 2.7652080, -0.1228774
-0.1024528, 0.0337523, 2.8823955, -0.1198512
-0.2875179, -0.0415362, 2.9226427, -0.1300038
-0.4774021, -0.1017462, 3.0587202, -0.1502520
# x_m, y_m, vx_mps, delta_rad
-0.4968040, -0.3349712, 3.1804855, -0.1452748
-0.6920069, -0.3782544, 3.1956853, -0.1518425
-0.8890419, -0.4031573, 3.2144314, -0.1587748
-1.0882198, -0.4090354, 3.2437191, -0.1610013
-1.2867354, -0.3954320, 3.2791369, -0.1609585
-1.4826422, -0.3625709, 3.3197735, -0.1590892
-1.6751961, -0.3107918, 3.3678381, -0.1541910
-1.8613997, -0.2414603, 3.4183987, -0.1486302
-2.0410542, -0.1554403, 3.4739591, -0.1412498
-2.2125308, -0.0544345, 3.5319287, -0.1335393
-2.3751306, 0.0599990, 3.5917255, -0.1253411
-2.5288552, 0.1866788, 3.6540394, -0.1174441
-2.6730166, 0.3238067, 3.7171751, -0.1097627
-2.8078249, 0.4702812, 3.7816586, -0.1025221
-2.9332557, 0.6247933, 3.8490682, -0.0958561
-3.0495831, 0.7863973, 3.9181510, -0.0895282
-3.1569258, 0.9539746, 3.9914709, -0.0842339
-3.2556207, 1.1268342, 4.0661589, -0.0796483
-3.3459587, 1.3043999, 4.1421617, -0.0757425
-3.4279337, 1.4856269, 4.2185750, -0.0729029
-3.5019628, 1.6705653, 4.2946433, -0.0705178
-3.5679904, 1.8583488, 4.3696038, -0.0689254
-3.6261332, 2.0486834, 4.4425038, -0.0679320
-3.6765074, 2.2415976, 4.5141614, -0.0673198
-3.7188608, 2.4358296, 4.5808702, -0.0674635
-3.7533441, 2.6320436, 4.6452729, -0.0678664
-3.7797320, 2.8293579, 4.7048091, -0.0687575
-3.7978991, 3.0275125, 4.7584711, -0.0698751
-3.8077063, 3.2266911, 4.8086730, -0.0710971
-3.8089356, 3.4254044, 4.8474504, -0.0731490
-3.8013659, 3.6246024, 4.8819179, -0.0746822
-3.7848721, 3.8228503, 4.9041865, -0.0745198
-3.7594541, 4.0203751, 4.9170543, -0.0727384
-3.7253698, 4.2166824, 4.9202843, -0.0694434
-3.6831265, 4.4111483, 4.9083475, -0.0669480
-3.6329505, 4.6041298, 4.8912485, -0.0649236
-3.5753776, 4.7945641, 4.8571217, -0.0630407
